,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp (F),Wind Speed
0,punta arenas,40,CL,1570715877,74,-53.16,-70.91,37.4,31.09
1,rikitea,79,PF,1570715878,70,-23.12,-134.97,68.92,10.31
2,georgetown,75,GY,1570715878,79,6.8,-58.16,86.0,9.17
3,jamestown,7,AU,1570715878,51,-33.21,138.6,49.17,9.98
4,khandbari,61,NP,1570715878,94,27.38,87.21,49.19,1.3
5,khatanga,69,RU,1570715878,86,71.98,102.47,14.59,11.65
6,bluff,36,AU,1570715878,89,-23.58,149.07,62.01,11.25
7,busselton,23,AU,1570715879,65,-33.64,115.35,60.01,9.25
8,carnarvon,100,ZA,1570715879,7,-30.97,22.13,71.82,9.05
9,mehamn,75,NO,1570715879,80,71.03,27.85,41.0,4.7
10,luena,97,AO,1570715879,75,-11.78,19.91,69.33,5.8
11,namatanai,9,PG,1570715879,73,-3.66,152.44,82.42,6.67
12,ushuaia,100,AR,1570715880,91,-54.81,-68.31,32.0,35.57
13,sidi ali,0,DZ,1570715880,26,36.1,0.42,86.56,6.84
14,chokurdakh,99,RU,1570715881,89,70.62,147.9,12.07,3.98
15,sitka,0,US,1570715881,82,37.17,-99.65,41.0,32.01
16,bambous virieux,75,MU,1570715881,60,-20.34,57.76,75.2,17.22
17,lorengau,20,PG,1570715882,75,-2.02,147.27,82.71,5.52
18,port alfred,44,ZA,1570715882,77,-33.59,26.89,63.0,5.01
19,richards bay,83,ZA,1570715882,70,-28.77,32.06,66.76,24.63
20,maltahohe,0,NA,1570715882,10,-24.83,16.98,81.19,13.14
21,ostrovnoy,91,RU,1570715882,93,68.05,39.51,30.63,8.62
22,bredasdorp,14,ZA,1570715883,42,-34.53,20.04,64.4,16.11
23,waipawa,100,NZ,1570715883,94,-39.94,176.59,53.01,7.14
24,yellowknife,75,CA,1570715883,82,62.45,-114.38,32.0,9.17
25,saint-philippe,1,CA,1570715883,100,45.36,-73.48,52.0,10.99
26,marsa matruh,40,EG,1570715884,65,31.35,27.25,78.8,4.7
27,castro,90,CL,1570715884,100,-42.48,-73.76,50.0,13.87
28,san antonio,100,CL,1570715884,51,-33.58,-71.61,68.0,5.61
29,chimbote,96,PE,1570715884,64,-9.08,-78.59,67.84,8.19
30,fasa,40,IR,1570715885,20,28.94,53.65,87.8,5.17
31,albany,1,US,1570715885,44,42.65,-73.75,57.2,9.17
32,clyde river,90,CA,1570715885,100,70.47,-68.59,33.8,29.97
33,khandyga,100,RU,1570715885,86,62.65,135.58,25.05,5.14
34,mahebourg,75,MU,1570715885,60,-20.41,57.7,75.2,17.22
35,tiksi,96,RU,1570715885,93,71.64,128.87,16.59,3.69
36,upernavik,0,GL,1570715886,70,72.79,-56.15,30.22,7.37
37,soure,0,PT,1570715886,46,40.06,-8.63,84.0,8.05
38,vaini,40,IN,1570715886,83,15.34,74.49,73.4,4.7
39,kodiak,90,US,1570715887,100,39.95,-94.76,62.6,11.41
40,mongo,99,CD,1570715887,67,-5.62,14.6,81.57,6.31
41,srednekolymsk,100,RU,1570715887,75,67.46,153.71,15.58,3.84
42,atuona,0,PF,1570715887,75,-9.8,-139.03,78.4,12.92
43,faanui,100,PF,1570715887,80,-16.48,-151.75,75.34,17.79
44,palana,100,RU,1570715888,91,59.08,159.95,34.0,4.46
45,perigueux,75,FR,1570715888,56,45.18,0.72,75.0,3.36
46,kalmunai,100,LK,1570715888,78,7.42,81.82,83.19,20.24
47,cape town,27,ZA,1570715888,43,-33.93,18.42,69.8,13.87
48,hilo,75,US,1570715888,88,19.71,-155.08,75.2,6.93
49,amahai,100,ID,1570715889,84,-3.31,129.0,79.92,8.61
50,dospat,99,BG,1570715889,58,41.65,24.16,66.61,5.74
51,goderich,88,CA,1570715889,88,43.74,-81.71,53.01,10.9
52,mar del plata,100,AR,1570715889,37,-46.43,-67.52,57.67,18.37
53,madera,1,US,1570715890,70,36.96,-120.06,53.01,3.74
54,hun,20,BE,1570715890,72,50.34,4.87,62.01,14.99
55,cabo san lucas,5,MX,1570715890,73,22.89,-109.91,75.0,3.86
56,mogok,100,MM,1570715890,98,22.92,96.51,66.54,1.89
57,the valley,20,AI,1570715890,62,18.22,-63.06,88.0,2.24
58,severo-kurilsk,83,RU,1570715891,95,50.68,156.12,41.92,11.63
59,kapaa,20,US,1570715891,83,22.08,-159.32,80.6,9.17
60,tuy hoa,32,VN,1570715891,78,13.08,109.3,81.82,6.7
61,saiha,100,IN,1570715891,98,22.49,92.98,65.97,2.52
62,angoram,15,PG,1570715891,92,-4.06,144.07,73.94,0.48
63,san cristobal,35,HN,1570715892,70,14.68,-86.92,77.72,2.1
64,adrar,0,DZ,1570715892,22,27.87,-0.29,89.6,20.8
65,norman wells,75,CA,1570715892,70,65.28,-126.83,32.0,3.36
66,barrow,33,AR,1570715892,37,-38.31,-60.23,73.71,14.93
67,mataura,100,NZ,1570715892,91,-46.19,168.86,42.01,14.0
68,hobart,90,AU,1570715892,81,-42.88,147.33,48.2,3.36
69,walvis bay,12,NA,1570715893,87,-22.95,14.51,63.0,5.99
70,cherskiy,66,RU,1570715893,76,68.75,161.3,12.54,5.97
71,pangnirtung,90,CA,1570715893,80,66.15,-65.72,39.2,3.36
72,puerto ayora,20,EC,1570715893,72,-0.74,-90.35,68.0,11.41
73,maralal,84,KE,1570715893,58,1.1,36.7,71.92,19.13
74,tuatapere,100,NZ,1570715894,91,-46.13,167.69,42.01,14.0
75,quatre cocos,75,MU,1570715894,60,-20.21,57.76,75.2,17.22
76,port elizabeth,90,US,1570715894,62,39.31,-74.98,60.01,10.29
77,mnogovershinnyy,100,RU,1570715894,83,53.94,139.92,37.4,9.66
78,kushima,85,JP,1570715894,93,31.5,131.29,62.01,4.0
79,east london,40,ZA,1570715894,52,-33.02,27.91,64.4,11.41
80,hermanus,44,ZA,1570715895,71,-34.42,19.24,60.69,24.41
81,kargasok,100,RU,1570715895,66,59.06,80.87,36.34,15.82
82,kingsport,75,US,1570715895,72,36.55,-82.56,66.99,4.7
83,ahipara,100,NZ,1570715895,100,-35.17,173.16,61.0,13.88
84,avarua,92,CK,1570715895,77,-21.21,-159.78,69.8,8.05
85,kefamenanu,35,ID,1570715896,93,-9.45,124.48,66.06,2.96
86,lebu,20,ET,1570715896,43,8.96,38.73,69.8,13.87
87,provideniya,0,RU,1570715896,76,64.42,-173.23,26.2,3.34
88,lata,26,IN,1570715896,78,30.78,78.62,29.25,3.21
89,balad,100,ID,1570715896,89,-6.76,108.42,69.37,4.42
90,margate,90,AU,1570715897,81,-43.03,147.26,48.2,3.36
91,tsaghkahovit,0,AM,1570715897,52,40.64,44.22,52.48,6.77
92,saint anthony,1,US,1570715897,61,43.97,-111.68,17.6,3.36
93,harper,90,US,1570715897,73,30.3,-99.24,77.0,12.75
94,pevek,93,RU,1570715897,81,69.7,170.27,22.14,14.31
95,hithadhoo,100,MV,1570715898,79,-0.6,73.08,81.68,13.8
96,moberly,90,US,1570715898,93,39.42,-92.44,63.0,6.93
97,umm kaddadah,88,SD,1570715898,23,13.6,26.69,95.95,15.02
98,new norfolk,90,AU,1570715898,81,-42.78,147.06,48.2,3.36
